,ops_num,game_code,circulation,ufps_num,postamt_num,sales,date
817,105568,7105,322,2,224,49,2019-01-27
818,127495,7105,322,2,96,30,2019-01-27
822,125222,7105,216,2,664,63,2017-01-15
824,125362,7105,217,2,664,16,2017-01-22
825,127474,7105,218,2,96,34,2017-01-29
832,121108,7105,267,2,306,12,2018-01-07
834,109382,7105,223,2,484,37,2017-03-05
837,127422,7105,227,2,96,23,2017-04-02
846,125363,7105,297,2,664,26,2018-08-05
847,125239,7105,298,2,664,46,2018-08-12
852,129281,7105,270,2,96,25,2018-01-28
853,123308,7105,270,2,664,77,2018-01-28
857,124365,7105,301,2,664,55,2018-09-02
859,105066,7105,302,2,224,26,2018-09-09
873,115597,7105,252,2,484,22,2017-09-24
886,127204,7105,285,2,96,12,2018-05-13
887,115455,7105,285,2,484,20,2018-05-13
897,125362,7105,258,2,664,15,2017-11-05
910,127576,7105,289,2,96,52,2018-06-10
914,129272,7105,319,2,96,7,2019-01-06
920,127427,7105,320,2,96,42,2019-01-13
925,111524,7105,238,2,224,13,2017-06-18
936,125222,7105,229,2,664,55,2017-04-16
937,127576,7105,230,2,96,18,2017-04-23
946,109382,7105,272,2,484,55,2018-02-11
955,117246,7105,308,2,165,28,2018-10-21
957,115088,7105,309,2,484,18,2018-10-28
964,121293,7105,304,2,306,56,2018-09-23
966,121108,7105,305,2,306,16,2018-09-30
974,105005,7105,224,2,224,62,2017-03-12
975,129281,7105,224,2,96,25,2017-03-12
977,125239,7105,227,2,664,29,2017-04-02
990,115372,7105,267,2,165,115,2018-01-07
992,125363,7105,267,2,664,19,2018-01-07
998,117648,7105,299,2,165,35,2018-08-19
999,121108,7105,299,2,306,30,2018-08-19
1002,115372,7105,269,2,165,64,2018-01-21
1005,115409,7105,300,2,165,32,2018-08-26
1014,107589,7105,244,2,224,25,2017-07-30
1015,119034,7105,246,2,306,17,2017-08-13
1019,105523,7105,247,2,224,29,2017-08-20
1020,125363,7105,248,2,664,18,2017-08-27
1022,127474,7105,279,2,96,47,2018-04-01
1031,117463,7105,313,2,165,38,2018-11-25
1033,115372,7105,315,2,165,59,2018-12-09
1040,119311,7105,211,2,306,16,2016-12-11
1044,121355,7105,212,2,306,25,2016-12-18
1053,125627,7105,263,2,664,21,2017-12-10
1057,127410,7105,263,2,96,20,2017-12-10
1068,125565,7105,322,2,664,17,2019-01-27
1070,127576,7105,323,2,96,43,2019-02-03
1076,121151,7105,250,2,306,24,2017-09-10
1098,109263,7105,316,2,484,34,2018-12-16
1106,123376,7105,259,2,664,21,2017-11-12
1108,125363,7105,260,2,664,34,2017-11-19
1111,109518,7105,287,2,484,36,2018-05-27
1114,125430,7105,288,2,664,31,2018-06-03
1125,115682,7105,320,2,484,47,2019-01-13
1134,105523,7105,241,2,224,38,2017-07-09
1135,109263,7105,276,2,484,57,2018-03-11
1140,127276,7105,308,2,96,42,2018-10-21
1143,119049,7105,309,2,306,42,2018-10-28
1145,111524,7105,310,2,224,15,2018-11-04
1148,121374,7105,311,2,306,31,2018-11-11
1160,129110,7105,226,2,96,54,2017-03-26
1161,121108,7105,226,2,306,21,2017-03-26
1164,123557,7105,227,2,664,24,2017-04-02
1187,127576,7105,296,2,96,33,2018-07-29
1196,111622,7105,298,2,224,18,2018-08-12
1208,123308,7105,264,2,664,48,2017-12-17
1219,125363,7105,295,2,664,28,2018-07-22
1224,121108,7105,321,2,306,23,2019-01-20
1228,125475,7105,323,2,664,27,2019-02-03
1231,117218,7105,242,2,165,32,2017-07-16
1245,111622,7105,248,2,224,13,2017-08-27
1246,129110,7105,248,2,96,37,2017-08-27
1248,127427,7105,229,2,96,18,2017-04-16
1249,105005,7105,229,2,224,34,2017-04-16
1255,125222,7105,232,2,664,41,2017-05-07
1259,129281,7105,272,2,96,19,2018-02-11
1282,121151,7105,314,2,306,14,2018-12-02
1292,125222,7105,305,2,664,49,2018-09-30
1296,109263,7105,307,2,484,35,2018-10-14
1299,121293,7105,249,2,306,28,2017-09-03
1306,119311,7105,252,2,306,26,2017-09-24
1316,109462,7105,285,2,484,28,2018-05-13
1317,117405,7105,285,2,165,37,2018-05-13
1323,125222,7105,317,2,664,40,2018-12-23
1324,127081,7105,317,2,96,34,2018-12-23
1325,105554,7105,318,2,224,333,2018-12-30
1335,105005,7105,255,2,224,32,2017-10-15
1336,121355,7105,255,2,306,7,2017-10-15
1337,121374,7105,256,2,306,42,2017-10-22
1343,127495,7105,257,2,96,19,2017-10-29
1345,111250,7105,259,2,224,17,2017-11-12
1348,117648,7105,260,2,165,18,2017-11-19
1354,105043,7105,290,2,224,15,2018-06-17
1358,127410,7105,319,2,96,3,2019-01-06
1360,115138,7105,320,2,484,17,2019-01-13
1366,129272,7105,220,2,96,21,2017-02-12
1372,115372,7105,297,2,165,47,2018-08-05
1376,127576,7105,299,2,96,43,2018-08-19
1392,127474,7105,240,2,96,21,2017-07-02
1393,115372,7105,241,2,165,27,2017-07-09
1400,121293,7105,308,2,306,18,2018-10-21
1402,125627,7105,310,2,664,15,2018-11-04
1403,115583,7105,311,2,484,35,2018-11-11
1410,124460,7105,275,2,664,58,2018-03-04
1436,115409,7105,265,2,165,31,2017-12-24
1439,107589,7105,293,2,224,28,2018-07-08
1444,123098,7105,295,2,664,21,2018-07-22
1448,117648,7105,321,2,165,17,2019-01-20
1453,125430,7105,323,2,664,35,2019-02-03
1455,121087,7105,323,2,306,14,2019-02-03
1456,125627,7105,222,2,664,34,2017-02-26
1457,121108,7105,222,2,306,9,2017-02-26
1459,125363,7105,224,2,664,39,2017-03-12
1469,105043,7105,269,2,224,32,2018-01-21
1492,124489,7105,280,2,664,49,2018-04-08
1498,111524,7105,312,2,224,26,2018-11-18
1502,109518,7105,315,2,484,24,2018-12-09
1503,129272,7105,249,2,96,25,2017-09-03
1506,127427,7105,250,2,96,32,2017-09-10
1507,111622,7105,250,2,224,17,2017-09-10
1514,129338,7105,253,2,96,16,2017-10-01
1517,115682,7105,254,2,484,17,2017-10-08
1524,117463,7105,285,2,165,14,2018-05-13
1525,119311,7105,286,2,306,36,2018-05-20
1527,125363,7105,316,2,664,41,2018-12-16
1529,119192,7105,317,2,306,30,2018-12-23
1530,127495,7105,318,2,96,154,2018-12-30
1532,119192,7105,318,2,306,236,2018-12-30
1550,125502,7105,288,2,664,24,2018-06-03
1559,129164,7105,320,2,96,86,2019-01-13
1566,105005,7105,220,2,224,25,2017-02-12
1569,119049,7105,267,2,306,16,2018-01-07
1579,107589,7105,237,2,224,30,2017-06-11
1592,115682,7105,277,2,484,31,2018-03-18
1596,127204,7105,309,2,96,23,2018-10-28
1611,119034,7105,212,2,306,14,2016-12-18
1612,105264,7105,212,2,224,19,2016-12-18
1623,119049,7105,274,2,306,76,2018-02-25
1624,109518,7105,274,2,484,50,2018-02-25
1625,115372,7105,275,2,165,48,2018-03-04
1626,127081,7105,275,2,96,30,2018-03-04
1628,123557,7105,304,2,664,36,2018-09-23
1631,119192,7105,306,2,306,30,2018-10-07
1637,127427,7105,265,2,96,20,2017-12-24
1638,111524,7105,265,2,224,28,2017-12-24
1641,109263,7105,292,2,484,23,2018-07-01
1645,115035,7105,321,2,165,26,2019-01-20
1661,117463,7105,225,2,165,54,2017-03-19
1673,127434,7105,300,2,96,50,2018-08-26
1689,109462,7105,247,2,484,17,2017-08-20
1690,125239,7105,279,2,664,59,2018-04-01
1692,115455,7105,279,2,484,20,2018-04-01
1694,125362,7105,280,2,664,25,2018-04-08
1699,127495,7105,282,2,96,48,2018-04-22
1707,125239,7105,250,2,664,47,2017-09-10
1710,111622,7105,251,2,224,13,2017-09-17
1712,127576,7105,252,2,96,27,2017-09-24
1713,111250,7105,252,2,224,20,2017-09-24
1726,129338,7105,285,2,96,15,2018-05-13
1728,115138,7105,286,2,484,17,2018-05-20
1730,125222,7105,316,2,664,57,2018-12-16
1733,127427,7105,317,2,96,16,2018-12-23
1735,109263,7105,317,2,484,16,2018-12-23
1748,105568,7105,246,2,224,54,2017-08-13
1749,111622,7105,246,2,224,18,2017-08-13
1754,125565,7105,248,2,664,14,2017-08-27
1756,115372,7105,248,2,165,34,2017-08-27
1762,115409,7105,282,2,165,28,2018-04-22
1763,127576,7105,282,2,96,27,2018-04-22
1766,109383,7105,313,2,484,26,2018-11-25
1767,109518,7105,313,2,484,45,2018-11-25
1768,119049,7105,313,2,306,33,2018-11-25
1774,125475,7105,256,2,664,46,2017-10-22
1781,125627,7105,260,2,664,25,2017-11-19
1782,119192,7105,215,2,306,24,2017-01-08
1787,105043,7105,266,2,224,114,2017-12-31
1792,121374,7105,297,2,306,33,2018-08-05
1793,121293,7105,297,2,306,23,2018-08-05
1796,105005,7105,297,2,224,58,2018-08-05
1813,105043,7105,208,2,224,23,2016-11-20
1818,111524,7105,262,2,224,38,2017-12-03
1828,115372,7105,224,2,165,61,2017-03-12
1829,121108,7105,225,2,306,13,2017-03-19
1834,125430,7105,228,2,664,28,2017-04-09
1836,115372,7105,268,2,165,65,2018-01-14
1837,123557,7105,268,2,664,48,2018-01-14
1839,127204,7105,270,2,96,37,2018-01-28
1843,117218,7105,300,2,165,23,2018-08-26
1846,117133,7105,301,2,165,21,2018-09-02
1849,125430,7105,302,2,664,43,2018-09-09
1851,119311,7105,303,2,306,63,2018-09-16
1859,119192,7105,230,2,306,16,2017-04-23
1863,105005,7105,233,2,224,31,2017-05-14
1871,125222,7105,272,2,664,88,2018-02-11
1875,124489,7105,275,2,664,44,2018-03-04
1885,117218,7105,305,2,165,17,2018-09-30
1888,124365,7105,306,2,664,46,2018-10-07
1893,127081,7105,307,2,96,29,2018-10-14
1895,127427,7105,237,2,96,20,2017-06-11
1896,121552,7105,238,2,306,10,2017-06-18
1905,119049,7105,276,2,306,87,2018-03-11
1910,127427,7105,309,2,96,23,2018-10-28
1915,111524,7105,311,2,224,14,2018-11-11
1924,127576,7105,253,2,96,20,2017-10-01
1928,119049,7105,284,2,306,20,2018-05-06
1939,109548,7105,318,2,484,111,2018-12-30
1950,125565,7105,246,2,664,15,2017-08-13
1960,121293,7105,280,2,306,41,2018-04-08
1971,129164,7105,313,2,96,88,2018-11-25
1975,117648,7105,315,2,165,23,2018-12-09
1977,121355,7105,216,2,306,28,2017-01-15
1982,105568,7105,266,2,224,550,2017-12-31
1988,119619,7105,297,2,306,43,2018-08-05
2009,115597,7105,289,2,484,48,2018-06-10
2015,117624,7105,320,2,165,61,2019-01-13
2020,121151,7105,261,2,306,28,2017-11-26
2023,119192,7105,263,2,306,46,2017-12-10
2026,124489,7105,265,2,664,61,2017-12-24
2030,119049,7105,224,2,306,38,2017-03-12
2033,125239,7105,226,2,664,50,2017-03-26
2035,127427,7105,227,2,96,20,2017-04-02
2053,115598,7105,292,2,165,25,2018-07-01
2066,115138,7105,321,2,484,20,2019-01-20
2071,111524,7105,240,2,224,7,2017-07-02
2077,117133,7105,277,2,165,41,2018-03-18
2087,115372,7105,311,2,165,55,2018-11-11
2088,119034,7105,229,2,306,17,2017-04-16
2095,127427,7105,233,2,96,20,2017-05-14
2100,115035,7105,275,2,165,42,2018-03-04
2103,115138,7105,304,2,484,25,2018-09-23
2114,109429,7105,253,2,484,35,2017-10-01
2136,121355,7105,262,2,306,27,2017-12-03
2139,125475,7105,263,2,664,28,2017-12-10
2143,111524,7105,255,2,224,28,2017-10-15
2155,115682,7105,259,2,484,22,2017-11-12
2156,121087,7105,260,2,306,6,2017-11-19
2164,127276,7105,294,2,96,26,2018-07-15
2167,121552,7105,295,2,306,16,2018-07-22
2170,129323,7105,322,2,96,23,2019-01-27
2172,121471,7105,323,2,306,41,2019-02-03
2175,129338,7105,224,2,96,17,2017-03-12
2177,129164,7105,225,2,96,23,2017-03-19
2179,121087,7105,226,2,306,16,2017-03-26
2180,119619,7105,227,2,306,31,2017-04-02
2185,121293,7105,230,2,306,11,2017-04-23
2191,127276,7105,234,2,96,26,2017-05-21
2202,119192,7105,287,2,306,51,2018-05-27
2203,127204,7105,287,2,96,35,2018-05-27
2214,124489,7105,272,2,664,38,2018-02-11
2220,123557,7105,275,2,664,35,2018-03-04
2223,115409,7105,304,2,165,28,2018-09-23
2234,129272,7105,217,2,96,55,2017-01-22
2239,127204,7105,236,2,96,15,2017-06-04
2250,121355,7105,277,2,306,20,2018-03-18
2251,115597,7105,277,2,484,56,2018-03-18
2253,111622,7105,278,2,224,35,2018-03-25
2264,129338,7105,296,2,96,24,2018-07-29
2270,119049,7105,299,2,306,26,2018-08-19
2271,115409,7105,243,2,165,25,2017-07-23
2272,121108,7105,243,2,306,8,2017-07-23
2276,129272,7105,244,2,96,39,2017-07-30
2277,117648,7105,245,2,165,11,2017-08-06
2278,125239,7105,245,2,664,30,2017-08-06
2285,124489,7105,282,2,664,37,2018-04-22
2294,127427,7105,315,2,96,30,2018-12-09
2298,129281,7105,255,2,96,16,2017-10-15
2302,125430,7105,256,2,664,33,2017-10-22
2306,117246,7105,258,2,165,18,2017-11-05
2307,117218,7105,258,2,165,35,2017-11-05
2308,127427,7105,259,2,96,17,2017-11-12
2314,117624,7105,289,2,165,44,2018-06-10
2316,125363,7105,291,2,664,50,2018-06-24
2318,107589,7105,291,2,224,26,2018-06-24
2321,127422,7105,320,2,96,77,2019-01-13
2325,117463,7105,245,2,165,27,2017-08-06
2326,121151,7105,246,2,306,29,2017-08-13
2330,109263,7105,248,2,484,15,2017-08-27
2341,117246,7105,314,2,165,15,2018-12-02
2342,125476,7105,314,2,664,41,2018-12-02
2348,119311,7105,213,2,306,17,2016-12-25
2351,111622,7105,262,2,224,22,2017-12-03
2353,123376,7105,263,2,664,20,2017-12-10
2358,124365,7105,265,2,664,54,2017-12-24
2363,125239,7105,292,2,664,30,2018-07-01
2379,125362,7105,323,2,664,24,2019-02-03
2385,129323,7105,225,2,96,27,2017-03-19
2388,129338,7105,226,2,96,21,2017-03-26
2389,127474,7105,227,2,96,16,2017-04-02
2392,109429,7105,269,2,484,56,2018-01-21
2394,105264,7105,269,2,224,8,2018-01-21
2398,115598,7105,300,2,165,34,2018-08-26
2399,127204,7105,300,2,96,12,2018-08-26
2408,129110,7105,230,2,96,32,2017-04-23
2409,121552,7105,230,2,306,13,2017-04-23
2411,121374,7105,232,2,306,35,2017-05-07
2413,121087,7105,234,2,306,7,2017-05-21
2414,111398,7105,272,2,224,26,2018-02-11
2417,125222,7105,274,2,664,161,2018-02-25
2419,127576,7105,306,2,96,25,2018-10-07
2424,121471,7105,307,2,306,47,2018-10-14
2437,111524,7105,241,2,224,25,2017-07-09
2440,115455,7105,277,2,484,24,2018-03-18
2455,117463,7105,250,2,165,18,2017-09-10
2459,117405,7105,252,2,165,33,2017-09-24
2461,105264,7105,252,2,224,19,2017-09-24
2462,119311,7105,253,2,306,40,2017-10-01
2466,119034,7105,283,2,306,16,2018-04-29
2471,127495,7105,284,2,96,20,2018-05-06
2474,125222,7105,285,2,664,69,2018-05-13
2479,111398,7105,317,2,224,31,2018-12-23
2485,123308,7105,215,2,664,57,2017-01-08
2491,119311,7105,221,2,306,21,2017-02-19
2493,127495,7105,296,2,96,32,2018-07-29
2503,123557,7105,249,2,664,17,2017-09-03
2507,129323,7105,252,2,96,21,2017-09-24
2510,115597,7105,253,2,484,21,2017-10-01
2517,109462,7105,283,2,484,30,2018-04-29
2522,115583,7105,286,2,484,52,2018-05-20
2530,124460,7105,216,2,664,36,2017-01-15
2538,127410,7105,267,2,96,7,2018-01-07
2541,124489,7105,297,2,664,34,2018-08-05
2546,115088,7105,299,2,484,26,2018-08-19
2550,117036,7105,228,2,165,19,2017-04-09
2561,115088,7105,301,2,484,27,2018-09-02
2572,124460,7105,248,2,664,24,2017-08-27
2583,115455,7105,264,2,484,7,2017-12-17
2589,127410,7105,279,2,96,16,2018-04-01
2590,125565,7105,280,2,664,11,2018-04-08
2594,121552,7105,312,2,306,24,2018-11-18
2616,121471,7105,319,2,306,58,2019-01-06
2625,117246,7105,294,2,165,22,2018-07-15
2628,115455,7105,294,2,484,18,2018-07-15
2635,125430,7105,322,2,664,31,2019-01-27
2636,121087,7105,322,2,306,11,2019-01-27
2640,109383,7105,236,2,484,16,2017-06-04
2648,109429,7105,237,2,484,28,2017-06-11
2649,121355,7105,238,2,306,22,2017-06-18
2650,127576,7105,238,2,96,87,2017-06-18
2651,121108,7105,238,2,306,13,2017-06-18
2653,125430,7105,238,2,664,16,2017-06-18
2654,124489,7105,239,2,664,19,2017-06-25
2678,117463,7105,231,2,165,6,2017-04-30
2682,109518,7105,272,2,484,36,2018-02-11
2683,125627,7105,273,2,664,21,2018-02-18
2692,117405,7105,305,2,165,34,2018-09-30
2694,119602,7105,306,2,306,55,2018-10-07
2695,109382,7105,307,2,484,48,2018-10-14
2714,105554,7105,259,2,224,25,2017-11-12
2723,121087,7105,263,2,306,12,2017-12-10
2732,115138,7105,292,2,484,22,2018-07-01
2744,121293,7105,322,2,306,63,2019-01-27
2754,124365,7105,266,2,664,166,2017-12-31
2761,111622,7105,225,2,224,12,2017-03-19
2770,124365,7105,296,2,664,48,2018-07-29
2777,121552,7105,297,2,306,28,2018-08-05
2779,115409,7105,298,2,165,33,2018-08-12
2780,117624,7105,298,2,165,40,2018-08-12
2782,127081,7105,299,2,96,62,2018-08-19
2786,125239,7105,268,2,664,57,2018-01-14
2788,121293,7105,269,2,306,28,2018-01-21
2792,115455,7105,271,2,484,18,2018-02-04
2793,129272,7105,300,2,96,11,2018-08-26
2806,115598,7105,245,2,165,23,2017-08-06
2815,121293,7105,287,2,306,24,2018-05-27
2822,121293,7105,291,2,306,25,2018-06-24
2828,121151,7105,279,2,306,20,2018-04-01
2833,127434,7105,312,2,96,51,2018-11-18
2842,117133,7105,229,2,165,24,2017-04-16
2848,105523,7105,234,2,224,34,2017-05-21
2856,105264,7105,305,2,224,21,2018-09-30
2863,115597,7105,249,2,484,20,2017-09-03
2865,115409,7105,250,2,165,28,2017-09-10
2900,111622,7105,309,2,224,19,2018-10-28
2902,109429,7105,310,2,484,35,2018-11-04
2904,127474,7105,310,2,96,38,2018-11-04
2909,117036,7105,252,2,165,17,2017-09-24
2911,124460,7105,252,2,664,19,2017-09-24
2918,121151,7105,253,2,306,22,2017-10-01
2919,109518,7105,254,2,484,28,2017-10-08
2930,115682,7105,317,2,484,15,2018-12-23
2931,109518,7105,317,2,484,18,2018-12-23
2932,111622,7105,318,2,224,212,2018-12-30
2940,123557,7105,246,2,664,16,2017-08-13
2943,117133,7105,247,2,165,21,2017-08-20
2954,127576,7105,281,2,96,55,2018-04-15
2955,121108,7105,282,2,306,13,2018-04-22
2966,127410,7105,218,2,96,3,2017-01-29
2971,125222,7105,230,2,664,53,2017-04-23
2973,129110,7105,231,2,96,17,2017-04-30
2974,129272,7105,232,2,96,63,2017-05-07
2975,109518,7105,234,2,484,21,2017-05-21
2981,115682,7105,236,2,484,12,2017-06-04
2982,105043,7105,237,2,224,23,2017-06-11
2992,129338,7105,240,2,96,21,2017-07-02
2995,119311,7105,241,2,306,24,2017-07-09
3001,115088,7105,297,2,484,23,2018-08-05
3004,117405,7105,298,2,165,44,2018-08-12
3013,119192,7105,277,2,306,58,2018-03-18
3030,127576,7105,311,2,96,61,2018-11-11
3037,117246,7105,274,2,165,25,2018-02-25
3038,115455,7105,275,2,484,35,2018-03-04
3041,124365,7105,275,2,664,60,2018-03-04
3059,105264,7105,287,2,224,8,2018-05-27
3061,121471,7105,287,2,306,55,2018-05-27
3063,127474,7105,289,2,96,42,2018-06-10
3072,127422,7105,319,2,96,16,2019-01-06
3092,115455,7105,295,2,484,11,2018-07-22
3095,129272,7105,222,2,96,17,2017-02-26
3097,119619,7105,223,2,306,21,2017-03-05
3105,121355,7105,226,2,306,17,2017-03-26
3109,109383,7105,227,2,484,13,2017-04-02
3114,115583,7105,270,2,484,60,2018-01-28
3116,119602,7105,300,2,306,52,2018-08-26
3118,111250,7105,300,2,224,36,2018-08-26
3120,111524,7105,301,2,224,29,2018-09-02
3122,117405,7105,301,2,165,26,2018-09-02
3126,125565,7105,250,2,664,15,2017-09-10
3129,127276,7105,251,2,96,40,2017-09-17
3134,125475,7105,253,2,664,20,2017-10-01
3137,121355,7105,283,2,306,10,2018-04-29
3146,117246,7105,317,2,165,24,2018-12-23
3148,119619,7105,210,2,306,19,2016-12-04
3152,111398,7105,261,2,224,31,2017-11-26
3156,111398,7105,262,2,224,45,2017-12-03
3162,107589,7105,222,2,224,11,2017-02-26
3165,117218,7105,223,2,165,60,2017-03-05
3170,129164,7105,227,2,96,26,2017-04-02
3179,124575,7105,293,2,664,24,2018-07-08
3184,117133,7105,295,2,165,31,2018-07-22
3187,127495,7105,295,2,96,17,2018-07-22
3189,115138,7105,300,2,484,22,2018-08-26
3191,121471,7105,300,2,306,55,2018-08-26
3194,125565,7105,301,2,664,8,2018-09-02
3195,117218,7105,301,2,165,27,2018-09-02
3196,117624,7105,302,2,165,39,2018-09-09
3197,121151,7105,302,2,306,20,2018-09-09
3208,105523,7105,258,2,224,36,2017-11-05
3217,125363,7105,287,2,664,34,2018-05-27
